Designator,Mid X,Mid Y,Rotation,Layer
C1,95.3,-47.2,180.0,bottom
C2,93.99,-40.28,270.0,bottom
C3,96.1,-45.27,270.0,bottom
C4,103.6,-41.97,270.0,bottom
C5,97.35,-41.97,270.0,bottom
D1,112.225,-40.0,180.0,bottom
D2,100.48,-42.35,0.0,bottom
J1,92.1,-45.9,270.0,top
J2,107.9,-45.9,90.0,top
J3,100.0,-51.0,180.0,bottom
L1,102.1,-45.52,0.0,bottom
Q1,88.0,-49.5,270.0,bottom
R1,112.225,-41.75,180.0,bottom
R2,112.225,-44.75,180.0,bottom
R3,112.225,-43.25,180.0,bottom
R4,94.9,-43.0,90.0,bottom
R5,99.6,-48.9,180.0,bottom
R6,97.0,-48.9,0.0,bottom
U1,100.0,-44.19325,0.0,top
U2,98.2,-45.52,0.0,bottom
